pnum,stntype,stnstatus,opstatus,sitecity,sitestate,region,lat,lon,elev,project,networks,multi_types,is_realtime,mean_latency_last_hour,mean_latency_last_day,data_complete_last_day,data_complete_last_hour,status
7ODM,GPS,Installed,Operable,Mentone,California,SW,34.1164090089135,-117.0931973154826,762.0968704141211,USGS,,GPS,1,-1,-1,0,0,OK
AB01,GPS,Installed,Operable,Atka,AK,AK,52.20950231478105,-174.20475806022668,25.496269032044484,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AB02,GPS,Installed,Operable,Nikolski,AK,AK,52.970603268699044,-168.85467155720718,192.81178956470043,PBO,"NOTA, PBO",GPS,0,,,,,OK
AB04,GPS,Installed,Operable,SAVOONGA,AK,AK,63.65686266715864,-170.56744338398147,136.55003767540944,PBO,"NOTA, PBO",GPS,0,,,,,OK
AB06,GPS,Installed,Operable,"FALSE PASS",AK,AK,54.88532014846006,-163.4234552372236,500.4433570341018,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AB07,GPS,Installed,Operable,"Sand Point",AK,AK,55.349272437778616,-160.4767562610674,89.4829525312283,PBO,"NOTA, PBO",GPS,1,330,366,100,100,OK
AB08,GPS,Installed,Operable,Mekoryuk,AK,AK,60.38482953818581,-166.2008565916082,26.506104831400783,PBO,"NOTA, PBO",GPS,0,,,,,OK
AB09,GPS,Installed,Operable,WALES,AK,AK,65.6149790429548,-168.06212536180095,162.07121442506093,PBO,"NOTA, PBO",GPS,0,,,,,OK
AB11,GPS,Installed,Operable,Nome,AK,AK,64.56449420170796,-165.3734592113812,349.46612336921106,PBO,"NOTA, PBO",GPS,1,-1,-1,99,100,OK
AB13,GPS,Installed,Operable,"Chignik Lagoon",AK,AK,56.30732001810441,-158.5037921004302,487.76078392855044,PBO,"NOTA, PBO",GPS,0,,,,,"Status Unavailable"
AB14,GPS,Installed,Operable,DILLINGHAM,AK,AK,59.10816362492386,-159.0915326505858,657.650783309532,PBO,"NOTA, PBO",GPS,0,,,,,OK
