Iteration 1/6656: Lever: [-26.8495705   -1.12798126  36.33165477], Offset: 1996.0000, RMSE: 582.5176
Iteration 2/6656: Lever: [-24.74173428  -0.3174667   19.61700526], Offset: 1997.0000, RMSE: 533.9497
Iteration 3/6656: Lever: [-23.28181411   1.31979851  37.22783337], Offset: 1998.0000, RMSE: 405.1191
Iteration 4/6656: Lever: [-22.76079507   0.19644209  34.06571559], Offset: 1999.0000, RMSE: 434.3585
Iteration 5/6656: Lever: [-17.92186971   1.79909232   9.75094589], Offset: 2000.0000, RMSE: 335.3782
Iteration 6/6656: Lever: [-18.86355809   0.55271217  35.68849487], Offset: 2001.0000, RMSE: 353.5753
Iteration 7/6656: Lever: [-17.46115425  -1.44890874  26.14124988], Offset: 2002.0000, RMSE: 403.5508
Iteration 8/6656: Lever: [-18.22213085  -3.71558368  34.74317229], Offset: 2003.0000, RMSE: 503.2091
Iteration 9/6656: Lever: [-14.28217425  -2.32968418  28.56326659], Offset: 2004.0000, RMSE: 385.0909
Iteration 10/6656: Lever: [-12.02256567  -2.61297344  18.72813003], Offset: 2005.0000, RMSE: 358.1153
Iteration 11/6656: Lever: [-12.38405628  -7.13733936  36.37544638], Offset: 2006.0000, RMSE: 480.5701
Iteration 12/6656: Lever: [-11.03811407  -5.74836229  37.72556833], Offset: 2007.0000, RMSE: 439.5660
Iteration 13/6656: Lever: [-12.5198444  -11.5898271   35.46284279], Offset: 2008.0000, RMSE: 634.1035
Iteration 14/6656: Lever: [-25.12133658   0.77672115  25.96055297], Offset: 1996.0000, RMSE: 524.0607
Iteration 15/6656: Lever: [-23.31421639   0.072899    17.32262896], Offset: 1997.0000, RMSE: 528.7569
Iteration 16/6656: Lever: [-23.54126473   1.47092396  32.14256964], Offset: 1998.0000, RMSE: 399.8826
Iteration 17/6656: Lever: [-21.47995787   0.62067335  37.26434667], Offset: 1999.0000, RMSE: 411.2497
Iteration 18/6656: Lever: [-21.25040789   0.96971372  32.1918448 ], Offset: 2000.0000, RMSE: 391.5200
Iteration 19/6656: Lever: [-19.1581674    0.05553147  35.00253591], Offset: 2001.0000, RMSE: 372.9292
Iteration 20/6656: Lever: [-17.36149105  -0.70513161  20.05101164], Offset: 2002.0000, RMSE: 380.7124
Iteration 21/6656: Lever: [-1.43348460e+01  1.19125095e-02  2.66331032e+01], Offset: 2003.0000, RMSE: 322.3773
Iteration 22/6656: Lever: [-14.29126452  -2.79406421  29.54642241], Offset: 2004.0000, RMSE: 397.1739
Iteration 23/6656: Lever: [-12.79152145  -3.51341598  20.05856561], Offset: 2005.0000, RMSE: 397.3423
Iteration 24/6656: Lever: [-12.36244991  -5.4658485   31.40743751], Offset: 2006.0000, RMSE: 439.6900
Iteration 25/6656: Lever: [-12.81467746  -7.4965154   33.2602031 ], Offset: 2007.0000, RMSE: 526.7652
Iteration 26/6656: Lever: [-11.32398621  -7.79438558  36.59984291], Offset: 2008.0000, RMSE: 527.0061
Iteration 27/6656: Lever: [-25.75764359   0.42478951  29.91258709], Offset: 1996.0000, RMSE: 530.4311
Iteration 28/6656: Lever: [-26.16346332  -0.66331256  28.16001359], Offset: 1997.0000, RMSE: 544.9848
Iteration 29/6656: Lever: [-24.12536449   1.09209213  38.96920355], Offset: 1998.0000, RMSE: 414.5939
Iteration 30/6656: Lever: [-22.83490066   0.91653811  40.95172112], Offset: 1999.0000, RMSE: 410.2990
Iteration 31/6656: Lever: [-19.86506869   0.97000764  17.87901632], Offset: 2000.0000, RMSE: 372.5450
Iteration 32/6656: Lever: [-19.73419638   0.61199694  37.38663083], Offset: 2001.0000, RMSE: 367.7981
Iteration 33/6656: Lever: [-16.67310532  -0.19145876  21.21436662], Offset: 2002.0000, RMSE: 354.3842
Iteration 34/6656: Lever: [-14.84529984  -0.66126735  28.49198548], Offset: 2003.0000, RMSE: 350.6026
Iteration 35/6656: Lever: [-15.16793256  -2.76210295  30.41201447], Offset: 2004.0000, RMSE: 416.1136
Iteration 36/6656: Lever: [-13.69873725  -4.16477318  28.99375203], Offset: 2005.0000, RMSE: 434.2368
Iteration 37/6656: Lever: [-14.84328943  -7.5619213   39.00218312], Offset: 2006.0000, RMSE: 546.4396
Iteration 38/6656: Lever: [-12.96343243  -6.25190096  37.60911674], Offset: 2007.0000, RMSE: 509.4164
Iteration 39/6656: Lever: [-10.48166164  -7.3984701   37.52606935], Offset: 2008.0000, RMSE: 493.9353
Iteration 40/6656: Lever: [-26.78794836  -1.11827134  37.05276287], Offset: 1996.0000, RMSE: 582.6390
Iteration 41/6656: Lever: [-2.40438769e+01 -3.34630821e-03  1.96098780e+01], Offset: 1997.0000, RMSE: 525.2350
Iteration 42/6656: Lever: [-22.76826439  -1.60336036  29.03233744], Offset: 1998.0000, RMSE: 519.9046
Iteration 43/6656: Lever: [-19.71837911   0.96311741  33.1792081 ], Offset: 1999.0000, RMSE: 403.4129
Iteration 44/6656: Lever: [-20.74332532   0.15692617  22.55670412], Offset: 2000.0000, RMSE: 407.7565
Iteration 45/6656: Lever: [-19.51637434  -0.26217911  38.20719294], Offset: 2001.0000, RMSE: 387.1449
Iteration 46/6656: Lever: [-18.16998112  -2.0771502   26.76279487], Offset: 2002.0000, RMSE: 433.1538
Iteration 47/6656: Lever: [-18.20963445  -3.73624058  36.29713118], Offset: 2003.0000, RMSE: 503.1914
Iteration 48/6656: Lever: [-15.22008225  -4.00373326  37.41268236], Offset: 2004.0000, RMSE: 447.5474
Iteration 49/6656: Lever: [-15.06908425  -7.17008097  28.75739969], Offset: 2005.0000, RMSE: 538.5648
Iteration 50/6656: Lever: [-14.41043925  -7.34392617  37.7158601 ], Offset: 2006.0000, RMSE: 530.6605
Iteration 51/6656: Lever: [-12.32451967  -6.91931179  41.24049175], Offset: 2007.0000, RMSE: 498.1034
Iteration 52/6656: Lever: [-12.74042209  -8.45033627  36.99111703], Offset: 2008.0000, RMSE: 584.2736
Iteration 53/6656: Lever: [-25.08519931  -0.07003964  28.08091077], Offset: 1996.0000, RMSE: 560.0377
Iteration 54/6656: Lever: [-23.87364268   3.72858901  15.50631645], Offset: 1997.0000, RMSE: 379.5246
Iteration 55/6656: Lever: [-21.87520124   1.18667884  22.93916553], Offset: 1998.0000, RMSE: 416.7871
Iteration 56/6656: Lever: [-20.33347456  -0.90639334  31.93470001], Offset: 1999.0000, RMSE: 474.7995
Iteration 57/6656: Lever: [-19.87659208   2.69595005  19.62619537], Offset: 2000.0000, RMSE: 320.3305
Iteration 58/6656: Lever: [-18.8040718   -0.29960654  39.7646937 ], Offset: 2001.0000, RMSE: 378.2888
Iteration 59/6656: Lever: [-16.84463706  -0.11323151  21.70031045], Offset: 2002.0000, RMSE: 354.9504
Iteration 60/6656: Lever: [-17.47302521  -3.99976913  37.05901646], Offset: 2003.0000, RMSE: 494.1591
Iteration 61/6656: Lever: [-15.70248885  -3.91637498  41.32188806], Offset: 2004.0000, RMSE: 455.8648
Iteration 62/6656: Lever: [-15.6429195   -6.99638588  29.00397494], Offset: 2005.0000, RMSE: 547.0664
Iteration 63/6656: Lever: [-10.81691638  -4.15143864  28.42741725], Offset: 2006.0000, RMSE: 374.3341
Iteration 64/6656: Lever: [-13.16913727  -7.90541589  35.77877584], Offset: 2007.0000, RMSE: 543.9782
